bill_id,vendor_name,category,bill_date,amount
BILL-1001,Atlas Warehouse Solutions,Logistics,2026-01-04,14135.11
BILL-1002,Anvil Metalworks,Materials,2026-01-06,16090.98
BILL-1003,Granite State Tooling,Materials,2026-01-09,9024.74
BILL-1004,Sterling Audit Advisors,Services,2026-01-11,20702.28
BILL-1005,Forge and Foundry Castings,Materials,2026-01-14,32955.72
BILL-1006,Crestline Plastics,Materials,2026-01-15,25231.14
BILL-1007,Cascade Fabrics Mfg,Materials,2026-01-18,11593.27
BILL-1008,Vanguard Office Systems,Office,2026-01-20,1842.50
BILL-1009,Summit Logistics Partners,Logistics,2026-01-22,18760.40
BILL-1010,Northwind Textile Works,Materials,2026-01-25,13402.65
BILL-1011,Pacific Zipper Industries,Materials,2026-01-27,4280.00
BILL-1012,Beacon Insurance Group,Services,2026-01-29,27500.00
BILL-1013,Evergreen Freight Lines,Logistics,2026-02-02,15980.33
BILL-1014,Blue Ridge Packaging,Office,2026-02-04,2210.75
BILL-1015,Ironclad Hardware Supply,Materials,2026-02-06,8765.20
BILL-1016,Cornerstone Leasing Co,Services,2026-02-09,31200.00
BILL-1017,Keystone Industrial Gas,Materials,2026-02-11,6430.18
BILL-1018,Highland Wool Mills,Materials,2026-02-13,12044.90
BILL-1019,Mountain Mail Couriers,Logistics,2026-02-16,1320.45
BILL-1020,Pine Street Stationery,Office,2026-02-18,985.60
BILL-1021,Redwood Pest Control,Services,2026-02-20,1475.00
BILL-1022,River Rock Aggregate,Materials,2026-02-23,19260.55
BILL-1023,City Courier Service,Logistics,2026-02-25,1105.10
BILL-1024,Frontier Safety Gear,Office,2026-02-27,3640.00
