transaction_id,date,store_id,sku,product,quantity,unit_price,amount,tax,payment_method
TXN-002211,2026-04-25,S05,SKU-1009,Hiking Boots,1,89.99,89.99,6.52,online
TXN-002212,2026-04-25,S05,SKU-1010,Down Vest,3,74.50,223.50,16.20,cash
TXN-002213,2026-04-25,S03,SKU-1011,Camp Stove,4,49.99,199.96,14.50,online
TXN-002214,2026-04-25,S02,SKU-1014,Carabiner 4pk,4,9.99,39.96,2.90,cash
TXN-002215,2026-04-25,S03,SKU-1008,Rain Jacket,6,59.99,359.94,26.10,online
TXN-002216,2026-04-25,S01,SKU-1008,Rain Jacket,6,59.99,359.94,26.10,online
TXN-002217,2026-04-25,S01,SKU-1013,Headlamp,1,24.99,24.99,1.81,card
TXN-002218,2026-04-25,S03,SKU-1001,Trail Runner Socks,3,6.99,20.97,1.52,cash
TXN-002219,2026-04-25,S04,SKU-1003,Ball Cap,3,18.50,55.50,4.02,card
TXN-002220,2026-04-25,S03,SKU-1005,Insulated Tumbler,5,27.99,139.95,10.15,cash
TXN-002221,2026-04-25,S01,SKU-1010,Down Vest,6,74.50,447.00,32.41,online
TXN-002222,2026-04-25,S02,SKU-1014,Carabiner 4pk,1,9.99,9.99,0.72,card
TXN-002223,2026-04-25,S04,SKU-1014,Carabiner 4pk,5,9.99,49.95,3.62,cash
TXN-002224,2026-04-25,S02,SKU-1003,Ball Cap,1,18.50,18.50,1.34,cash
TXN-002225,2026-04-25,S04,SKU-1015,Trail Mix 1lb,3,7.49,22.47,1.63,card
TXN-002226,2026-04-25,S01,SKU-1002,Water Bottle 24oz,4,12.99,51.96,3.77,card
TXN-002227,2026-04-25,S01,SKU-1011,Camp Stove,4,49.99,199.96,14.50,card
TXN-002228,2026-04-25,S05,SKU-1007,Daypack 18L,6,44.99,269.94,19.57,cash
TXN-002229,2026-04-25,S02,SKU-1001,Trail Runner Socks,5,6.99,34.95,2.53,cash
TXN-002230,2026-04-25,S05,SKU-1001,Trail Runner Socks,3,6.99,20.97,1.52,cash
TXN-002231,2026-04-25,S03,SKU-1007,Daypack 18L,3,44.99,134.97,9.79,card
TXN-002232,2026-04-25,S04,SKU-1015,Trail Mix 1lb,2,7.49,14.98,1.09,online
TXN-002233,2026-04-25,S03,SKU-1008,Rain Jacket,5,59.99,299.95,21.75,cash
TXN-002234,2026-04-25,S01,SKU-1003,Ball Cap,6,18.50,111.00,8.05,cash
TXN-002235,2026-04-25,S01,SKU-1014,Carabiner 4pk,3,9.99,29.97,2.17,card
TXN-002236,2026-04-25,S03,SKU-1003,Ball Cap,1,18.50,18.50,1.34,online
TXN-002237,2026-04-25,S01,SKU-1012,Sleeping Bag,6,79.99,479.94,34.80,cash
TXN-002238,2026-04-25,S02,SKU-1006,Trekking Poles,1,34.99,34.99,2.54,cash
TXN-002239,2026-04-25,S01,SKU-1008,Rain Jacket,3,59.99,179.97,13.05,cash
TXN-002240,2026-04-25,S01,SKU-1010,Down Vest,3,74.50,223.50,16.20,online
TXN-002241,2026-04-25,S04,SKU-1014,Carabiner 4pk,4,9.99,39.96,2.90,online
TXN-002242,2026-04-25,S04,SKU-1006,Trekking Poles,1,34.99,34.99,2.54,card
TXN-002243,2026-04-25,S03,SKU-1013,Headlamp,1,24.99,24.99,1.81,cash
TXN-002244,2026-04-25,S02,SKU-1013,Headlamp,2,24.99,49.98,3.62,card
TXN-002245,2026-04-25,S01,SKU-1013,Headlamp,4,24.99,99.96,7.25,cash
TXN-002246,2026-04-25,S03,SKU-1004,Graphic Tee,6,22.00,132.00,9.57,card
TXN-002247,2026-04-25,S03,SKU-1012,Sleeping Bag,5,79.99,399.95,29.00,card
TXN-002248,2026-04-25,S05,SKU-1014,Carabiner 4pk,3,9.99,29.97,2.17,online
TXN-002249,2026-04-25,S01,SKU-1012,Sleeping Bag,3,79.99,239.97,17.40,card
TXN-002250,2026-04-25,S02,SKU-1004,Graphic Tee,4,22.00,88.00,6.38,online
